ID ,№,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2023-1),Uzbekistan Red Data Book (2019),CITES,CMS,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
0044012633,species complex,"Bufotes viridis (Laurenti, 1768)",Жаба зеленая,Яшил қурбақа,Green toad,,,,,,,,,,,,,,,,,,
,1,"Bufotes pewzowi (Bedriaga, 1898)",Жаба Певцова,Ўрта осиё қурбақаси,Xinjiang toad,LC,,,,"UZ, KZ,KG,MN,CN",Х,Х,Х,Х,Х,Х,Х,Х,,,,,
,2,"Bufotes perrini Mazepa, Litvinchuk, Jablonski, Dufresnes, 2019",Жаба Перрини,-,Perrin's Green Toad,,,,,"UZ, KZ, TM",,,,,,,,,,Х,Х,,Х
,3,"Bufotes sitibundus (Pallas, 1771)",,,,,,,,,,,,,,,,,,,,,Х
,4,"Bufotes turanensis (Hemmer, Schmidtler & 
Böhme, 1978)",Туранская жаба,-,Turan toad,,,,,"UZ, TM, IR, AF",,,,,,,,Х,Х,Х,,Х,Х
0044022643,5,"Pelophylax ridibundus (Pallas, 1771)",Озерная лягушка,Кўл бақаси,Eurasian marsh frog,LC,,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
,6,"Pelophylax terentievi (Mezhzherin, 1992)",Лягушка Терентьева,Терентьев бақаси,Terentjev's Frog ,LC,,,,"UZ, TJ, AF",,,,,,,,,Х,,,,
