№,№,ID ,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2025-1),Uzbekistan Red Data Book (2019),CITES,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
,21,0033020211,"Phrynocephalus saidalievi
 Sattorov, 1981",Круглоголовка Саид-Алиева,Саид-Алиев  тўгаракбоши,Said-Aliev Toad-head Agama,VU,1(EN),,"UZ, TJ, KG",,Х,Х,,,,,,,,,,
,"21,1",0033020211,"Phrynocephalus saidalievi saidalievi
 Sattorov, 1981",Круглоголовка Саид-Алиева,Саид-Алиев  тўгаракбоши,Said-Aliev Toad-head Agama,VU,1(EN),,"UZ, TJ, KG",,Х,,,,,,,,,,,
,"21,2",0033020211,"Phrynocephalus saidalievi orlovae Solovyeva, Nazarov, Dunayev, Abduraupov & Poyarkov, 2025",Круглоголовка Орловой ,Орлова тўгаракбоши,Orlova Toad-head Agama,VU,1(EN),,"UZ, TJ, KG",,,Х,,,,,,,,,,
19,22,,"Phrynocephalus interscapularis Lichtenstein & Martens, 1856",Песчаная круглоголовка ,Қум тўгаракбоши ,Lichtenstein's Toadhead Agama,LC,,,"UZ, TM, KZ, AF, IR",,,,,,,,Х,,Х,Х,Х,Х
21,23,,"Phrynocephalus mystaceus (Pallas, 1776)",Ушастая круглоголовка ,Қизил қўлоқ калтакесак,Secret Toad-headed Agama,LC,,,,,,,,,,,Х,Х,Х,Х,Х,Х
,"23,1",,"Phrynocephalus mystaceus mystaceus (Pallas, 1776)",Ушастая круглоголовка ,Қизил қўлоқ калтакесак,Secret Toad-headed Agama,,,,,,,,,,,,Х,Х,Х,Х,Х,Х
22,24,,"Phrynocephalus raddei Boettger, 1888",Круглоголовка Радде ,Каспий тўгаракбоши ,Radde’s Toad-headed Agama,LC,,,,,,,,,,,,Х,,,,
"22,1","24,1",0033020221,"Phrynocephalus raddei boettgeri 
Von Bedriaga, 1906",Закаспийская круглоголовка Беттгера,Беттгер каспий тўгаракбоши ,Boettger Caspian Toad-head Аgаmа,,2(VU:D),,"UZ, TJ, TM",,,,,,,,,Х,,,,
23,25,,"Phrynocephalus reticulatus (Eichwald, 1831)",Сетчатая круглоголовка ,Матрап тўгаракбоши,Reticulated Toad-headed Agama,LC,,,"UZ, TM",,,,,,,,,,Х,Х,,Х
"23,1","25,1",,"Phrynocephalus reticulatus reticulatus (Eichwald, 1831)",Сетчатая круглоголовка ,Матрап тўгаракбоши,Reticulated Toad-headed Agama,LC,,,"UZ, TM",,,,,,,,,,Х,Х,,
"23,2","25,2",,"Phrynocephalus reticulatus bannikovi DAREVSKY, RUSTAMOV & SHAMMAKOV 1976",Сетчатая круглоголовка Банникова,,,LC,,,"UZ, TM",,,,,,,,,,,,,Х
24,26,,"Phrynocephalus rossikowi Nikolsky, 1898",Хентаунская круглоголовка,Хентоғ тўгаракбоши,Khentau Toad-headed Agama,EN,,,"UZ, TM",,,,,,,,,,,,,Х
"24,1","26,1",0033020191,"Phrynocephalus rossikowi rossikowi Nikolsky, 1898",Хентаунская круглоголовка,Хентоғ тўгаракбоши,Khentau Toad-headed Agama,EN,1(EN),,"UZ, TM",,,,,,,,,,,,,Х
25,27,,"Phrynocephalus sogdianus Cernov, 1948",Согдианская круглоголовка,Согдиана тўгаракбоши,Tajikistan Toad-headed Agama,EN,,,"UZ, TJ",,,,,,,,,Х,,,,
26,28,0033020201,"Phrynocephalus strauchi Nikolsky, 1899",Круглоголовка Штрауха ,Штраух тўгаракбоши,Fergana Toad-headed Agama,VU,1(EN),,"UZ, TJ, KG",Х,Х,Х,,,,,,,,,,
27,29,,"Pseudopus apodus (Pallas, 1775)",Желтопузик,Сариқилон,European Glass Lizard,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,,Х,,
"27,1","29,1",0033032693,"Pseudopus apodus apodus (Pallas, 1775)",Желтопузик,Сариқилон,European Glass Lizard,,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,,Х,,
28,30,,"Ablepharus deserti Strauch, 1868",Пустынный гологлаз ,Чўл тақиркўзлиси,Desert Lidless Skink ,LC,,,"UZ, TJ, TM, KZ, KG",Х,Х,Х,Х,Х,Х,Х,,,Х,Х,Х,Х
29,31,,"Ablepharus pannonicus (Fitzinger, 1824)",Азиатский гологлаз ,Осиё тақиркўзлиси,Asian Snake-eyed Skink,LC,,,,,,,,,,Х,Х,Х,,,,
